"To your address","Til din adresse"
"To a post office","Til Posthus/Pakkeboks"
"To your Business","Til erhverv"
"We will arrive","Leveringstid"
"We will arrive in","Leveringstid"
"1-3 days ","1-3 dage"
"Delivery type","Levering"
"Personal Delivery","Din adresse"
"Please note that small packeges will be delivered directly to your mall box.","Små pakker lægges i postkassen"
"Skift postnumber","Ændr Postnummer"
"Cancel","Fortryd"
"International Parcel delivered by DPD","International levering"
"Select delivery day","Vælg leveringsdag"
"Standart Delivery","Din adresse"
"Smart Delivery","Smartlevering"
"Choose delivery option","Vælg leveringsdag"
"Choose delivery options","Vælg leveringsdag"
"Personal Delivery","Din adresse"
"Flex delivery","Flexlevering"
"Flex Delivery","Flexlevering"
"In front of the Door","Foran hoveddøren"
"Carport","Carport/garage"
"Infront of backdoor","Ved bagdøren"
"I have modttagarflex","Jeg har Modtagerflex"
"Other place","Andet sted"
"Opening hours","Åbningstider"
"Zip/Postal Code","Postnummer"
"Write place", "Skriv placering"
"1-3 days", "1-3 dage"
"2-3 days", "2-3 dage"
"Choose a method", "Vælg leveringsmetode"
"Pick a point", "Vælg udleveringssted"
"Mon", "Man"
"Tue", "Tirs"
"Wed", "Ons"
"Thu", "Tors"
"Fri", "Fre"
"Sat", "Lør"
"Sun", "Søn"
"Choose delivery option commercial arrival","Vælg leveringsdag"
"Choose delivery option commercial delivery","Vælg leveringsdag"
"Choose delivery option private arrival","Vælg leveringsdag"
"Choose delivery option private delivery","Vælg leveringsdag"
"Choose delivery option mailbox arrival","Vælg leveringsdag"
"Choose delivery option mailbox delivery","Vælg leveringsdag"
"Label arrival time commercial:","Leveringstid:"
"Label arrival commercial:","Leveringstid:"
"Label delivery commercial:","Levering:"
"Label arrival time private:","Leveringstid:"
"Label arrival private:","Leveringstid:"
"Label delivery private:","Levering:"
"Label arrival time mailbox:","Leveringstid:"
"Label arrival mailbox:","Leveringstid:"
"Label delivery mailbox:","Levering:"
"Label arrival time pickup:","Leveringstid:"
"Label arrival pickup:","Leveringstid:"
"Label delivery pickup:","Levering:"
"By paying 10 crowns carbon offsets for my delivery and contribute to the transition to renewable energy.","Genom att betala 10 kronor klimatkompenserar jag för min leverans och bidrar till omställningen till förnybar energi."
"Your 10 crowns will go to projects certified by the UN. The projects aim to replace fossil energy production in developing countries with renewable energy. The projects are also certified according to the Gold Standard, which involves additional requirements on social responsibility and sustainable development. You can read more about carbon offsetting and PostNord's sustainability work on postnord.com", "Dina 10 kronor går oavkortat till projekt certifieradeav FN. Projekten syftar till att ersätta fossil energiproduktioni utvecklingsländer med produktion av förnybar energi.Projekten är även certifierade enligt Gold Standard, sominnebär ytterligare krav på socialt ansvarstagande ochen hållbar utveckling. Du kan läsa mer om klimatkompensationoch PostNords hållbarhetsarbete på postnord.com."
"Please add the code for the outside door in the textbox bellow (if there is):", "Tilføj venligst koden til døren i tekstfeltet nedenfor (hvis der er en kode):"
"Tillbaka","Tilbage"
"Ändra ombud","Ændre butik"
"Visa fler ombud","Vis flere udleveringssteder"
"Sök postnummer","Søg postnummer"
"Sök","Søg"
"kr","Dkr"
"Mån-Fre","Man-Fre"
"Lör-Sön","Lør-Søn"
"Paketet levereras till:","Pakken leveres til:"
"bort","bort"
"Andra ombud","Ændre butik"
"När vill du att vi ska komma?","Vælg leveringsform"
"Vi kommer till ditt jobb dagtid mellan kl 8-17","Vi kommer til din arbejdsplads mellem kl 8-17"
"Dagen innan får du ett SMS med tidsintervaller. I SMS:et kan du välja backup-alternativ om du inte är hemma.","Dagen inden modtager du en SMS med tidsintevaller. I SMS’en kan du vælge backup alternativer hvis du ikke er hjemme"
"Vi lämnar av paketet på ditt jobb (exempelvis i entrén, receptionen, lastkajen). Du kan inte ändra leveransätt senare.","Vi leverer pakken på din arbejdsplads"
"Se till att ange en giltig företagsadress som leveransadress.","Husk at brug en gyldig erhvervsadresse."
"Vi lämnar paketet utanför din dörr och aviserar dig via SMS vid leverans. Du kan inte ändra leveransätt senare.","Vi forlader pakken uden for døren og giver dig besked via SMS ved levering. Du kan ikke ændre leveringsformen senere."
"Leveranstid 1 vardag","Leveringstid 1 hverdag"