"To your address","Kotiintoimitus"
"To a post office","Toimitus noutopisteeseen"
"To your Business","Toimitus työpaikalle"
"We will arrive","Arvioitu toimitusaika"
"We will arrive in","Toimitusaika"
"1-3 days ","1 - 3 arkipäivää"
"Delivery type","Lähetyksen toimitustapa"
"Personal Delivery","Lähetyksen toimitus kuittausta vastaan"
"Please note that small packeges will be delivered directly to your mall box.",""
"Skift postnumber","Etsi palvelupiste postinumeron perusteella"
"Cancel","Peruuta"
"International Parcel delivered by DPD","International levering"
"Select delivery day","Valitse toimituspäivämäärä"
"Standart Delivery","Toimitus maanantaista perjantaihin  klo 08:00 - 16:00"
"Smart Delivery","Smartlevering"
"Choose delivery option","Valitse toimitustapa"
"Personal Delivery","Lähetyksen toimitus kuittausta vastaan"
"Flex delivery","Flexlevering"
"Flex Delivery","Flexlevering"
"In front of the Door","Foran hoveddøren"
"Carport","Carport/garage"
"Infront of backdoor","Ved bagdøren"
"I have modttagarflex","Jeg har Modtagerflex"
"Other place","Andet sted"
"Opening hours","Aukioloajat"
"Pick a point", "valitse palvelu paikka"
"Mon", "Ma"
"Tue", "Tii"
"Wed", "Kes"
"Thu", "Tor"
"Fri", "Pe"
"Sat", "La"
"Sun", "Sun"
"Choose delivery option commercial arrival","Valitse toimitustapa"
"Choose delivery option commercial delivery","Valitse toimitustapa"
"Choose delivery option private arrival","Valitse toimitustapa"
"Choose delivery option private delivery","Valitse toimitustapa"
"Choose delivery option mailbox arrival","Valitse toimitustapa"
"Choose delivery option mailbox delivery","Valitse toimitustapa"
"Label arrival time commercial:","Toimitusaika:"
"Label arrival commercial:","Arvioitu toimitusaika:"
"Label delivery commercial:","Lähetyksen toimitustapa:"
"Label arrival time private:","Toimitusaika:"
"Label arrival private:","Arvioitu toimitusaika:"
"Label delivery private:","Lähetyksen toimitustapa:"
"Label arrival time mailbox:","Toimitusaika:"
"Label arrival mailbox:","Arvioitu toimitusaika:"
"Label delivery mailbox:","Lähetyksen toimitustapa:"
"Label arrival time pickup:","Toimitusaika:"
"Label arrival pickup:","Arvioitu toimitusaika:"
"Label delivery pickup:","Arvioitu toimitusaika:"
"By paying 10 crowns carbon offsets for my delivery and contribute to the transition to renewable energy.","Genom att betala 10 kronor klimatkompenserar jag för min leverans och bidrar till omställningen till förnybar energi."
"Your 10 crowns will go to projects certified by the UN. The projects aim to replace fossil energy production in developing countries with renewable energy. The projects are also certified according to the Gold Standard, which involves additional requirements on social responsibility and sustainable development. You can read more about carbon offsetting and PostNord's sustainability work on postnord.com", "Dina 10 kronor går oavkortat till projekt certifieradeav FN. Projekten syftar till att ersätta fossil energiproduktioni utvecklingsländer med produktion av förnybar energi.Projekten är även certifierade enligt Gold Standard, sominnebär ytterligare krav på socialt ansvarstagande ochen hållbar utveckling. Du kan läsa mer om klimatkompensationoch PostNords hållbarhetsarbete på postnord.com."
"Tillbaka","Takaisin"
"Ändra ombud","Vaihda agentti"
"Visa fler ombud","Tarkastele lisää aineita"
"Sök postnummer","Hae postinumero"
"Sök","Löytää"
"kr","EUR"
"Mån-Fre","Maa-Per"
"Lör-Sön","Lau-Sun"
"Paketet levereras till:","Pakkaus toimitetaan:"
"bort","päässä"
"Andra ombud","Muut aineet"
"När vill du att vi ska komma?","Milloin haluat, että tulemme?"
"Vi kommer till ditt jobb dagtid mellan kl 8-17","Tulet työhösi päivällä klo 8-17"